=== RESUMO DOS BLOCOS DE MÍDIA ===
"Mídia","Budget Input","Ciclo (semanas)","UF","Praça","Taxonomia","Exibidores","Formato","Região","Cluster Exibidores","Cluster Formato","Periodicidade","Flight","Digital","Estático","Faces Alocadas","Budget Utilizado","Budget Ideal","Sobrando","Status"
"Mídia 1","R$ 10.000.000,00","1","Tudo","Tudo","Tudo","Tudo","Tudo","norte","Tudo","Tudo","Tudo","Tudo","Não","Não","523","R$ 2.011.768,10","R$ 1.604.647,30","R$ 7.988.231,90","excessive"
"Mídia 2","R$ 1.312.312,00","1","rj","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Não","Não","914","R$ 1.311.510,00","R$ 33.748.018,40","R$ 802,00","insufficient"

=== FACES RECOMENDADAS (DETALHADO) ===
"Mídia","Prioridade","Praça","UF","Exibidores","Taxonomia","Formato","Qtd Disponível","Preço Unitário","ROI","Alocado"
"Mídia 2","10","rio de janeiro","rj","Cartaxi","data promo","Taxi Exterior","30","R$ 480,00","24.3300","0"
"Mídia 2","11","rio de janeiro","rj","Cartaxi","ouro promo","Taxi Exterior","20","R$ 480,00","20.3300","0"
"Mídia 2","12","rio de janeiro","rj","Adver","data produto","Outdoor Tijuca / Zona Norte","20","R$ 1.150,00","17.5200","0"
"Mídia 2","13","rio de janeiro","rj","Adver","data produto","Outdoor Zona Oeste","20","R$ 1.150,00","17.5200","0"
"Mídia 2","14","rio de janeiro","rj","Adver","data promo","Outdoor Tijuca / Zona Norte","20","R$ 1.150,00","17.5200","0"
"Mídia 2","15","rio de janeiro","rj","Adver","data promo","Outdoor Zona Oeste","20","R$ 1.150,00","17.5200","0"
"Mídia 2","16","rio de janeiro","rj","Adver","ouro produto","Outdoor Tijuca / Zona Norte","15","R$ 1.150,00","16.2200","0"
"Mídia 2","17","rio de janeiro","rj","Adver","ouro produto","Outdoor Zona Oeste","15","R$ 1.150,00","16.2200","0"
"Mídia 2","18","rio de janeiro","rj","Adver","ouro promo","Outdoor Tijuca / Zona Norte","15","R$ 1.150,00","16.2200","0"
"Mídia 2","19","rio de janeiro","rj","Adver","ouro promo","Outdoor Zona Oeste","15","R$ 1.150,00","16.2200","0"
"Mídia 2","20","rio de janeiro","rj","Movie Midia","data produto","Street Front","20","R$ 6.336,00","15.3500","0"
"Mídia 2","21","rio de janeiro","rj","Movie Midia","data promo","Street Front","20","R$ 6.336,00","15.3500","0"
"Mídia 2","22","rio de janeiro","rj","Movie Midia","ouro produto","Street Front","18","R$ 6.336,00","14.8300","0"
"Mídia 2","23","rio de janeiro","rj","Clear Channel","data produto","Mub RJ Sequencial Rio Sul  (28faces)","28","R$ 10.050,00","11.6000","0"
"Mídia 2","24","rio de janeiro","rj","Tutto","data promo","BackBus","10","R$ 6.708,60","9.6000","0"
"Mídia 2","25","rio de janeiro","rj","Criativa","data produto","Frontlight","4","R$ 5.525,00","3.8800","0"
"Mídia 2","26","rio de janeiro","rj","Criativa","data promo","Frontlight","4","R$ 5.525,00","3.8800","0"
"Mídia 2","27","rio de janeiro","rj","Kallas","data produto","Painel led - Av das Americas","2","R$ 8.400,00","3.5700","0"
